CENTRO COMERCIAL	LOCAL	CATEGORIA
MALL DEL SOL	Kywi	electrodomesticos-y-tecnologia
MALL DEL SOL	L Occitane	salud-y-belleza
MALL DEL SOL	La Gran Vía	moda
MALL DEL SOL	La Isla de la Plata	accesorios
MALL DEL SOL	Laboratorios Luque	salud-y-belleza
MALL DEL SOL	Labrada Nutrition	entretenimiento
MALL DEL SOL	Las Fragancias	salud-y-belleza
MALL DEL SOL	Le Croissant	gastronomia
MALL DEL SOL	Lee	moda
MALL DEL SOL	Lemaler	moda
MALL DEL SOL	Leonisa	moda
MALL DEL SOL	Levi´s	moda
MALL DEL SOL	LG	electrodomesticos-y-tecnologia
MALL DEL SOL	Lili Pink	moda
MALL DEL SOL	Little Italy	gastronomia
MALL DEL SOL	Lotería Nacional	entretenimiento
MALL DEL SOL	Lu by Lolita	moda
MALL DEL SOL	MAC	salud-y-belleza
MALL DEL SOL	Majadero	gastronomia
MALL DEL SOL	Mami-T	gastronomia
MALL DEL SOL	Marathon Sports	entretenimiento
MALL DEL SOL	Martinizing	servicios
MALL DEL SOL	Maxitec	electrodomesticos-y-tecnologia
MALL DEL SOL	Maybelline	salud-y-belleza
MALL DEL SOL	Mayflower	gastronomia
MALL DEL SOL	McDonald’s	gastronomia
MALL DEL SOL	ME by Erika Vélez	salud-y-belleza
MALL DEL SOL	Megamaxi	supermercados-y-ferreterias
MALL DEL SOL	Miniso	electrodomesticos-y-tecnologia
MALL DEL SOL	Mochi	accesorios
MALL DEL SOL	Movistar	servicios
MALL DEL SOL	Mr Books	supermercados-y-ferreterias
MALL DEL SOL	Mr. Joy	entretenimiento
MALL DEL SOL	Multicines	entretenimiento
MALL DEL SOL	Munky	gastronomia
MALL DEL SOL	Natural Vitality	entretenimiento
MALL DEL SOL	Naturíssimo PA	gastronomia
MALL DEL SOL	Naturíssimo PB	gastronomia
MALL DEL SOL	Nazar	gastronomia
MALL DEL SOL	Netlife	servicios
MALL DEL SOL	New Era	moda
MALL DEL SOL	Nicole Pastry Arts	gastronomia
MALL DEL SOL	Nike	entretenimiento
MALL DEL SOL	Noe	gastronomia
MALL DEL SOL	Noperti	electrodomesticos-y-tecnologia
MALL DEL SOL	Oakberry	gastronomia
MALL DEL SOL	Old Navy	moda
